,Lens ID,027-396-266-532-738,066-382-980-653-77X,116-085-787-369-516,036-149-448-029-082,179-132-294-510-213,059-611-580-408-33X,063-359-887-330-154,116-509-832-503-46X,131-292-364-160-556,043-454-317-567-459,060-372-899-346-10X,078-881-949-441-033,025-320-084-599-970,062-055-064-561-85X,007-409-477-173-741,045-388-908-940-286,046-376-269-492-795,061-018-838-320-648,097-421-372-053-520,118-102-398-817-762
84,009-175-881-547-438,0.0,0.0,0.0,0.0,0.05551497394135582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
85,013-764-041-525-607,0.0,0.0,0.0,0.0,0.004981195024920845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
86,019-178-979-244-511,0.0,0.0,0.0,0.0,0.011981121038268022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87,024-276-265-590-973,0.0,0.0,0.0,0.0,0.048124127422769086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
88,032-050-236-233-836,0.0,0.0,0.0,0.0,0.027622354572595462,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89,040-208-896-050-485,0.0,0.0,0.0,0.0,0.05293935359440523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90,044-198-652-180-16X,0.0,0.0,0.0,0.0,0.027235836025545867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91,050-962-085-082-050,0.0,0.0,0.0,0.0,0.02709339878488127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
92,054-597-134-280-815,0.0,0.0,0.0,0.0,0.027089087698043277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
93,056-979-885-047-930,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
94,068-347-597-479-448,0.0,0.0,0.0,0.0,0.001758501642738391,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
95,071-000-824-702-757,0.0,0.0,0.0,0.0,0.043727900683776355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
96,073-054-463-858-866,0.0,0.0,0.0,0.0,0.04015622138998285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
97,074-632-781-234-90X,0.0,0.0,0.0,0.0,0.047979204380984575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
98,077-954-762-700-03X,0.0,0.0,0.0,0.0,0.025538304086616146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
99,084-598-061-461-73X,0.0,0.0,0.0,0.0,0.03496373195540576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100,100-811-848-186-952,0.0,0.0,0.0,0.0,0.03493354746010505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101,101-931-016-895-249,0.0,0.0,0.0,0.0,0.029503151161767348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102,105-344-783-651-500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
103,106-258-436-803-499,0.0,0.0,0.0,0.0,0.04310940156315157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
104,110-502-601-552-555,0.0,0.0,0.0,0.0,0.0236359909712481,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
105,115-406-999-927-24X,0.0,0.0,0.0,0.0,0.07394958711946611,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
106,118-400-153-349-767,0.0,0.0,0.0,0.0,0.02767294566996084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
107,122-703-378-850-053,0.0,0.0,0.0,0.0,0.057498582829887186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
108,127-655-016-585-334,0.0,0.0,0.0,0.0,0.02567748082671174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
109,129-190-637-644-62X,0.0,0.0,0.0,0.0,0.0310907660586831,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
110,138-254-519-618-953,0.0,0.0,0.0,0.0,0.07402537730902484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
111,145-162-485-543-214,0.0,0.0,0.0,0.0,0.02728369324825311,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
112,146-586-701-703-282,0.0,0.0,0.0,0.0,0.09636494420383682,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
113,002-733-369-145-420,0.0,0.0,0.0,0.0,0.0,0.06607032197612771,0.007985361804901343,0.01635251219710103,0.056310486369746324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
114,013-302-417-490-03X,0.0,0.0,0.0,0.0,0.0,0.0182270257075604,0.03581678245979151,0.07026513095115305,0.036526385011292156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
115,017-784-773-403-422,0.0,0.0,0.0,0.0,0.0,0.05307076528681788,0.02648681918182947,0.0,0.012567073114186707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
116,023-752-023-695-957,0.0,0.0,0.0,0.0,0.0,0.014511268161412037,0.004206791242893632,0.06817107130034167,0.022969637054260836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
117,025-107-741-251-630,0.0,0.0,0.0,0.0,0.0,0.02912153443193338,0.0,0.021754835100969476,0.025077650996625386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
118,025-832-836-773-820,0.0,0.0,0.0,0.0,0.0,0.03723626514682925,0.0014903370040146233,0.026116160129062017,0.08935252744630645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
119,026-048-467-239-979,0.0,0.0,0.0,0.0,0.0,0.04192548192867243,0.03737150594934027,0.025989812649498643,0.024089261295558044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
120,031-740-156-435-499,0.0,0.0,0.0,0.0,0.0,0.059442626302414286,0.00630194785299297,0.0434367103633133,0.02978875636568322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
121,034-244-957-935-06X,0.0,0.0,0.0,0.0,0.0,0.06521146511205808,0.006063188349299293,0.04219621454157023,0.023094270081914788,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
122,034-374-636-579-338,0.0,0.0,0.0,0.0,0.0,0.055647505856272664,0.0011312376612471003,0.03269815129585682,0.0798775957696124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
123,053-719-795-895-127,0.0,0.0,0.0,0.0,0.0,0.016645200134690383,0.01596875828850681,0.04140578992473636,0.06149460761229948,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
124,054-076-780-075-898,0.0,0.0,0.0,0.0,0.0,0.027600180700937345,0.017249356841577683,0.015050398562839629,0.053542706128246166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
125,057-453-531-906-267,0.0,0.0,0.0,0.0,0.0,0.03447132845648335,0.02972538364384772,0.014564720512496446,0.020811857316091677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
126,062-086-201-884-316,0.0,0.0,0.0,0.0,0.0,0.0015794740663651577,0.02793191443046465,0.10224247611884832,0.030622792967544374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
127,065-776-954-434-253,0.0,0.0,0.0,0.0,0.0,0.012125244748101031,0.023140090119992376,0.11667468351672701,0.0106135926574575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
128,071-825-816-424-896,0.0,0.0,0.0,0.0,0.0,0.021572555607380535,0.001328553443372801,0.05482268217642422,0.042280292034394984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
