,Lens ID,045-388-908-940-286,131-292-364-160-556,116-085-787-369-516,179-132-294-510-213,027-396-266-532-738,060-372-899-346-10X,061-018-838-320-648,007-409-477-173-741,097-421-372-053-520,043-454-317-567-459,046-376-269-492-795,078-881-949-441-033,062-055-064-561-85X,025-320-084-599-970,059-611-580-408-33X,116-509-832-503-46X,063-359-887-330-154,066-382-980-653-77X,036-149-448-029-082,118-102-398-817-762
89,093-639-455-889-549,0.0,0.0,0.0,0.0,0.041499719375701835,0.03716928140051675,0.06453255124413032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90,094-882-702-642-495,0.0,0.0,0.0,0.0,0.07089477028142382,0.03456738697007431,0.044873270597743944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91,095-597-624-140-45X,0.0,0.0,0.0,0.0,0.06110078923068806,0.0,0.024018705343236545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
92,103-364-820-610-122,0.0,0.0,0.0,0.0,0.04570338695778299,0.0360117850266236,0.0760413008538792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
93,115-098-299-620-069,0.0,0.0,0.0,0.0,0.02136426300454705,0.0670717464325119,0.042508887345999107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
94,123-112-711-908-995,0.0,0.0,0.0,0.0,0.03421356090540977,0.023069223803017454,0.04126437496215503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
95,127-482-211-718-005,0.0,0.0,0.0,0.0,0.04134984199802264,0.0067482705637513,0.07195673455663676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
96,129-202-026-489-574,0.0,0.0,0.0,0.0,0.022150038235018613,0.010929485771374224,0.0197193882215854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
97,145-930-999-684-144,0.0,0.0,0.0,0.0,0.05647666163636646,0.036964825224573054,0.021531936488782277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
98,146-114-322-954-991,0.0,0.0,0.0,0.0,0.05514166953110883,0.02905110928718942,0.013952193675721493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
99,152-347-604-820-830,0.0,0.0,0.0,0.0,0.0687727818187347,0.00705734868629091,0.04645260109224581,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
