,Lens ID,063-359-887-330-154,027-396-266-532-738,043-454-317-567-459,060-372-899-346-10X,061-018-838-320-648,066-382-980-653-77X,078-881-949-441-033,097-421-372-053-520,036-149-448-029-082,045-388-908-940-286,046-376-269-492-795,116-509-832-503-46X,007-409-477-173-741,116-085-787-369-516,118-102-398-817-762,025-320-084-599-970,059-611-580-408-33X,062-055-064-561-85X,131-292-364-160-556,179-132-294-510-213
89,129-335-229-947-343,0.0,0.03785200341188973,0.01038000199119396,0.043663525526781634,0.016838293361514774,0.036143492460766695,0.008390232060356306,0.02319747559603888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90,129-443-446-272-731,0.0,0.03308925109623496,0.011767614729721121,0.03473397972402713,0.06297845871401124,0.019695189552706667,0.06363571831394424,0.016926841581419768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91,139-017-681-927-137,0.0,0.08346039217905352,0.03780018423162125,0.05365696355776238,0.06953617479096623,0.04243082712804475,0.09915231996079628,0.0614092884203703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
92,146-114-322-954-991,0.0,0.06434695244146954,0.0,0.047423160609145074,0.021630182482349804,0.011897132140487765,0.0,0.03092163491877662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
93,148-753-200-673-175,0.0,0.028322829515618608,0.03232684992565081,0.11318885924974753,0.02517533278928179,0.012552770441825086,0.022955145859318227,0.016349307397810903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
94,152-347-604-820-830,0.0,0.06039454997575204,0.02449521490800653,0.008902083638851994,0.04665871876773528,0.06535667863670319,0.012165958862519949,0.08055434352395867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
95,160-606-850-771-257,0.0,0.045094970663308434,0.005539986025395342,0.0,0.03307593520542398,0.008887909821671269,0.0,0.006387839316689761,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
96,165-166-377-215-209,0.0,0.03588170923186268,0.025061351565872126,0.012746399723350243,0.04672004425363331,0.029221806893472285,0.026357415544343246,0.038399719862442686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
97,174-044-959-189-259,0.0,0.01065306495770783,0.015774831094037118,0.0,0.0035165730763367224,0.002276191285584821,0.0157964756282573,0.004824262851750169,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
98,174-766-280-588-960,0.0,0.024997599089117153,0.013000106071419031,0.0061186790269386875,0.011111934579603928,0.032414632966098485,0.016262498126260114,0.06233168184159487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
99,180-658-270-170-05X,0.0,0.028195535586332574,0.0,0.0,0.020910002001252967,0.017148843343688176,0.0,0.004046385988846666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100,185-059-218-401-751,0.0,0.044138822308153386,0.016468038018601125,0.0200013359673845,0.04951885594549979,0.0322733283509946,0.023586504614699133,0.01575429944386859,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101,190-805-304-109-100,0.0,0.012083061964883339,0.0025564351289466126,0.02875396608220689,0.028465769730444138,0.10632206805709268,0.023435330204880582,0.02435838296654457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102,194-391-518-246-985,0.0,0.0825045797148301,0.02526993976714951,0.057905555595725175,0.0922939210141894,0.039463198866206126,0.05051011462245975,0.0558779828955768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
103,002-908-019-710-006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025377727953103165,0.033774397897791256,0.010198435404825975,0.01825423598030108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
104,006-920-773-223-354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03592320883345425,0.03912883935576698,0.029255038156584652,0.04226573856156674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
105,014-482-297-957-834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03932762141929913,0.06319191267858437,0.046179644562499116,0.023010149894266623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
106,019-135-892-010-245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011502257627087677,0.013738533547347933,0.04827226314079658,0.002111262613442532,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
107,019-513-098-708-289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.031502139077890914,0.027592152784848674,0.026581904691565714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
108,023-752-023-695-957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03830829602875283,0.010481337524777628,0.09301138068042167,0.08081091965600871,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
109,026-048-467-239-979,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00607974154087121,0.0207116771033988,0.01818985162779926,0.028365440458671398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
110,030-902-854-635-052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010434877045032036,0.008969513515690171,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
111,032-707-667-937-548,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029037499371803988,0.09020436838467163,0.035844171464215445,0.008787200600319242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
112,033-100-558-536-10X,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08220247716485424,0.042361493034298675,0.026169185118492054,0.020904729245235287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
