,Lens ID,007-409-477-173-741,045-388-908-940-286,025-320-084-599-970,116-085-787-369-516,116-509-832-503-46X,131-292-364-160-556,179-132-294-510-213,043-454-317-567-459,062-055-064-561-85X,046-376-269-492-795,060-372-899-346-10X,097-421-372-053-520,027-396-266-532-738,061-018-838-320-648,063-359-887-330-154,066-382-980-653-77X,078-881-949-441-033,036-149-448-029-082,059-611-580-408-33X,118-102-398-817-762
71,001-254-322-670-872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019085966094024964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72,002-227-810-181-405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00863264812662025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73,009-175-881-547-438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003331818175925585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74,012-629-049-920-451,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025564231471539176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75,013-595-252-334-822,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
76,013-996-415-887-147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77,014-498-810-516-367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003506171353933416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
78,017-489-591-364-184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
79,017-784-773-403-422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026003936850457005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80,026-156-970-219-041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011525487072489217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
81,031-740-156-435-499,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0320696295325655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82,032-388-474-318-614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025379225621776382,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83,050-962-085-082-050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02280707407208067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
