Lens ID,Title,Date Published,Publication Year,Publication Type,Source Title,ISSNs,Publisher,Source Country,Author/s,Abstract,Volume,Issue Number,Start Page,End Page,Fields of Study,Keywords,MeSH Terms,Chemicals,Funding,Source URLs,External URL,PMID,DOI,Microsoft Academic ID,PMCID,Patent Citation Count,References,Scholarly Citation Count
037-168-999-715-943,Reports and Communications,,1985,journal article,KNOWLEDGE ORGANIZATION,09437444,Nomos Verlag,,,,12,1,20,22,,,,,,,http://dx.doi.org/10.5771/0943-7444-1985-1-20,,10.5771/0943-7444-1985-1-20,,,0,,0
037-550-054-026-10X,Classification – East or West?,,1985,journal article,KNOWLEDGE ORGANIZATION,09437444,Nomos Verlag,,,,12,3,127,127,,,,,,,http://dx.doi.org/10.5771/0943-7444-1985-3-127,,10.5771/0943-7444-1985-3-127,,,0,,0
037-662-650-602-376,"Hildreth, Ch. R.: Intelligent interfaces and retrieval methods for subject searching in bibliographie retrieval systems (H. Schnelling)",,1989,journal article,KNOWLEDGE ORGANIZATION,09437444,Nomos Verlag,,,,16,3,173,175,,,,,,,http://dx.doi.org/10.5771/0943-7444-1989-3-173-1,,10.5771/0943-7444-1989-3-173-1,,,0,,0
037-911-305-822-479,Classification Literature 15 (1988) No. 1,,1988,journal article,KNOWLEDGE ORGANIZATION,09437444,Nomos Verlag,,,,15,1,47,63,,,,,,,http://dx.doi.org/10.5771/0943-7444-1988-1-47,,10.5771/0943-7444-1988-1-47,,,0,,0
039-404-291-169-654,Recommendation for Classification/Empfehlung zur Klassifikation,,1985,journal article,KNOWLEDGE ORGANIZATION,09437444,Nomos Verlag,,,,12,1,23,26,,,,,,,http://dx.doi.org/10.5771/0943-7444-1985-1-23,,10.5771/0943-7444-1985-1-23,,,0,,0
039-945-813-656-700,FID/CR News 22,,1988,journal article,KNOWLEDGE ORGANIZATION,09437444,Nomos Verlag,,,,15,1,25,27,,,,,,,http://dx.doi.org/10.5771/0943-7444-1988-1-25,,10.5771/0943-7444-1988-1-25,,,0,,0
040-059-275-594-045,"Miksa, F.: The subject in the dictionary catalog from Cutter to the present (J. M. Perreault)",,1988,journal article,KNOWLEDGE ORGANIZATION,09437444,Nomos Verlag,,,,15,3,161,164,,,,,,,http://dx.doi.org/10.5771/0943-7444-1988-3-161,,10.5771/0943-7444-1988-3-161,,,0,,0
040-402-493-906-954,Obituary,,1987,journal article,KNOWLEDGE ORGANIZATION,09437444,Nomos Verlag,,,,14,1,46,47,,,,,,,http://dx.doi.org/10.5771/0943-7444-1987-1-46,,10.5771/0943-7444-1987-1-46,,,0,,0
043-369-541-907-626,Classification Literature 15 (1988) No. 2,,1988,journal article,KNOWLEDGE ORGANIZATION,09437444,Nomos Verlag,,,,15,2,109,125,,,,,,,http://dx.doi.org/10.5771/0943-7444-1988-2-109,,10.5771/0943-7444-1988-2-109,,,0,,0
043-566-566-011-802,R. Fugmann: The analytico-synthetic foundation for large indexing and information retrieval systems (L. Kalok),,1985,journal article,KNOWLEDGE ORGANIZATION,09437444,Nomos Verlag,,,,12,2,106,106,,,,,,,http://dx.doi.org/10.5771/0943-7444-1985-2-106,,10.5771/0943-7444-1985-2-106,,,0,,0
